campaign,click,click_pos,click_nb,cost,time_since_last_click,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,hour,day,pCTR
241,0,-1,-1,1e-05,-1,7,51,1037,10,2,2,2861,4,15,0,0,0.24830453231407706
606,0,-1,-1,1e-05,423858,5,51,208,10,2,2,2417,10,9,0,0,0.21940491111147353
191,0,-1,-1,0.000182758497011,8879,0,51,27,10,43,0,1557,4,1,0,0,0.3919562121926725
398,1,0,7,9.41176449551e-05,-1,4,14,103,7,43,2,5261,5,15,0,0,0.9958334205654562
68,0,-1,-1,3.19182346849e-05,-1,0,13,984,10,0,8,4374,4,15,0,0,0.4700751202112008
169,1,-1,-1,0.000186032889449,262565,5,47,1348,10,36,2,3189,5,8,0,0,0.47345486992749564
464,0,-1,-1,3.48173062117e-05,179666,5,51,1153,10,36,17,772,4,8,0,0,0.4302870587447201
212,0,-1,-1,3.47262752407e-05,-1,0,51,242,10,35,11,5135,4,15,0,0,0.5014298534653845
352,0,-1,-1,7.35294117647e-05,-1,0,51,1105,10,28,12,2280,4,15,0,0,0.3215117286670413
140,0,-1,-1,1.32352946436e-05,-1,4,14,1286,10,33,2,1506,10,15,0,0,0.10861458868751442
251,0,-1,-1,1.47058825721e-05,-1,5,51,472,10,36,8,3217,4,15,0,0,0.31412576272037185
377,1,0,1,9.56595411256e-05,1659878,2,51,20,10,1,12,8,4,7,0,0,0.9958334205654562
348,0,-1,-1,7.31132283084e-05,1064624,5,51,11,10,46,12,4952,4,26,0,0,0.3221384936061677
226,1,-1,-1,0.000118286370698,523726,5,51,962,10,2,2,2096,6,27,0,0,0.5661721974701643
276,1,-1,-1,1e-05,-1,0,51,524,10,40,11,5278,4,15,0,0,0.5074892606173852
179,0,-1,-1,1e-05,-1,1,51,200,10,43,2,2300,4,15,0,0,0.35479292243568544
78,1,-1,-1,7.51888149696e-05,2004857,5,20,379,10,43,5,700,4,6,0,0,0.3073605908075701
498,0,-1,-1,0.000754424597519,949520,5,18,868,10,36,2,5278,1,26,0,0,0.41069385336565767
122,0,-1,-1,0.00014440513709,-1,5,51,824,10,44,12,2335,4,15,0,0,0.3631404531708594
248,0,-1,-1,2.58663515834e-05,-1,1,51,812,10,2,12,1641,4,15,0,0,0.41262082094981084
7,1,-1,-1,0.00296268799725,-1,5,14,880,10,36,2,375,9,15,0,0,0.30826567830189494
85,0,-1,-1,1e-05,-1,8,21,1008,10,43,11,5278,4,15,0,0,0.4107950949425074
138,0,-1,-1,2.05882353818e-05,-1,0,14,151,10,45,2,3069,10,15,0,0,0.20683209814360262
342,0,-1,-1,1e-05,-1,7,51,990,10,36,2,5278,7,15,0,0,0.33955816754996915
102,0,-1,-1,0.000317647071446,-1,2,51,276,10,2,12,1068,4,15,0,0,0.190447092764957
627,1,0,1,0.00143530207453,583864,2,40,1098,7,26,2,370,4,27,0,0,0.9958334205654562
117,0,-1,-1,3.33385111951e-05,2252124,4,14,1230,7,36,11,459,4,6,0,0,0.17232077573066967
518,0,-1,-1,9.72335654147e-05,-1,5,51,719,10,2,2,1531,5,15,0,0,0.43938165222677933
486,0,-1,-1,0.000198091987707,400,0,51,1113,10,43,26,2342,4,3,0,0,0.47922834154300453
118,0,-1,-1,1e-05,-1,8,21,1319,10,41,14,5278,4,15,0,0,0.3573036972360887
492,0,-1,-1,0.000151286686168,-1,2,20,1280,3,41,26,1764,4,15,0,0,0.2759884533230509
