campaign,cost,pCTR,click,pCTR_per_cost
327,1e-05,0.9958334205654562,1,99583.34205654562
530,1e-05,0.9958334205654562,1,99583.34205654562
446,1e-05,0.9958334205654562,1,99583.34205654562
624,1e-05,0.9958334205654562,1,99583.34205654562
559,1e-05,0.9958334205654562,1,99583.34205654562
301,1e-05,0.9958334205654562,1,99583.34205654562
249,1e-05,0.9958334205654562,1,99583.34205654562
303,1e-05,0.9958334205654562,1,99583.34205654562
446,1e-05,0.9958334205654562,1,99583.34205654562
140,1e-05,0.9958334205654562,1,99583.34205654562
466,1e-05,0.9958334205654562,1,99583.34205654562
480,1e-05,0.9958334205654562,1,99583.34205654562
446,1e-05,0.9958334205654562,1,99583.34205654562
121,1e-05,0.9958334205654562,1,99583.34205654562
191,1e-05,0.9958334205654562,1,99583.34205654562
501,1e-05,0.9958334205654562,1,99583.34205654562
559,1e-05,0.9958334205654562,1,99583.34205654562
377,1e-05,0.9958334205654562,1,99583.34205654562
408,1e-05,0.9958334205654562,1,99583.34205654562
446,1e-05,0.9958334205654562,1,99583.34205654562
408,1e-05,0.9958334205654562,1,99583.34205654562
174,1e-05,0.9958334205654562,1,99583.34205654562
446,1e-05,0.9958334205654562,1,99583.34205654562
501,1e-05,0.9958334205654562,1,99583.34205654562
572,1e-05,0.9958334205654562,1,99583.34205654562
327,1e-05,0.9958334205654562,1,99583.34205654562
7,1e-05,0.9958334205654562,1,99583.34205654562
377,1e-05,0.9958334205654562,1,99583.34205654562
118,1e-05,0.9958334205654562,1,99583.34205654562
377,1e-05,0.9958334205654562,1,99583.34205654562
190,1e-05,0.9958334205654562,1,99583.34205654562
303,1e-05,0.9958334205654562,1,99583.34205654562
446,1e-05,0.9958334205654562,1,99583.34205654562
490,1e-05,0.9958334205654562,1,99583.34205654562
7,1e-05,0.9958334205654562,1,99583.34205654562
446,1e-05,0.9958334205654562,1,99583.34205654562
208,1e-05,0.9958334205654562,1,99583.34205654562
172,1e-05,0.9958334205654562,1,99583.34205654562
477,1e-05,0.9958334205654562,1,99583.34205654562
411,1e-05,0.9958334205654562,1,99583.34205654562
518,1e-05,0.9958334205654562,1,99583.34205654562
7,1e-05,0.9958334205654562,1,99583.34205654562
626,1e-05,0.9958334205654562,1,99583.34205654562
538,1e-05,0.9958334205654562,1,99583.34205654562
222,1e-05,0.9958334205654562,1,99583.34205654562
521,1e-05,0.9958334205654562,1,99583.34205654562
211,1e-05,0.9958334205654562,1,99583.34205654562
446,1e-05,0.9958334205654562,1,99583.34205654562
377,1e-05,0.9958334205654562,1,99583.34205654562
501,1e-05,0.9958334205654562,1,99583.34205654562
446,1e-05,0.9958334205654562,1,99583.34205654562
117,1e-05,0.9958334205654562,1,99583.34205654562
625,1e-05,0.9958334205654562,1,99583.34205654562
446,1e-05,0.9958334205654562,1,99583.34205654562
446,1e-05,0.9958334205654562,1,99583.34205654562
473,1e-05,0.9958334205654562,1,99583.34205654562
446,1.02691237782e-05,0.9958334205654562,1,96973.55315547755
446,1.02822405889e-05,0.9958334205654562,1,96849.84629133163
437,1.02941176909e-05,0.9958334205654562,1,96738.10330007914
446,1.02941176909e-05,0.9958334205654562,1,96738.10330007914
7,1.0672038001e-05,0.9958334205654562,1,93312.39454658462
408,1.087765812e-05,0.9958334205654562,1,91548.51251801028
118,1.11124094795e-05,0.9958334205654562,1,89614.53610961279
446,1.11283969168e-05,0.9958334205654562,1,89485.79278854576
446,1.1493809627e-05,0.9958334205654562,1,86640.84867267623
208,1.16680288578e-05,0.9958334205654562,1,85347.18526169466
7,1.17930868531e-05,0.9958334205654562,1,84442.13402054999
220,1e-05,0.8383884456066905,1,83838.84456066904
430,1.18837635468e-05,0.9958334205654562,1,83797.81511502803
446,1.1965416591e-05,0.9958334205654562,1,83225.97153152946
382,1.20363231091e-05,0.9958334205654562,1,82735.68360860647
530,1.21300316909e-05,0.9958334205654562,1,82096.52257648548
446,1.21689850028e-05,0.9958334205654562,1,81833.72897051988
518,1e-05,0.800202403007841,0,80020.24030078409
446,1.26408818452e-05,0.9958334205654562,1,78778.79350194184
446,1.27055875079e-05,0.9958334205654562,1,78377.59725367073
128,1.27317197621e-05,0.9958334205654562,1,78216.7247766378
446,1.31227482885e-05,0.9958334205654562,1,75886.0414504899
445,1e-05,0.7538037847044131,1,75380.37847044131
140,1.32352946436e-05,0.9958334205654562,1,75240.74434164539
